s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_WOOD,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1501226E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1501226E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5966497E-001, 0.0000000E+000, 0.0000000E+000,-1.8267345E-007,-1.0544078E-002, 0.0000000E+000, 1.0568670E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4409675E-005, 0.0000000E+000, 6.7962999E-003, 0.0000000E+000
 3.1932995E-001, 8.0178035E+001, 0.0000000E+000,-1.7882433E-007, 1.3872777E+000, 2.6203542E-009, 1.4865100E-002, 0.0000000E+000, 0.0000000E+000, 2.3671749E-005, 8.1580178E+001, 0.0000000E+000, 1.3260221E-002, 0.0000000E+000
 4.7899494E-001, 1.5145082E+002, 0.0000000E+000,-4.1170102E+000, 2.5029814E+000,-1.5360359E-001, 4.3250344E-002, 0.0000000E+000, 0.0000000E+000, 8.1197787E+001, 1.4972643E+002, 0.0000000E+000, 1.9121375E-002, 0.0000000E+000
 6.3865989E-001, 2.1942549E+002, 0.0000000E+000,-1.0176691E+002, 1.9638346E+000,-5.0874916E-001, 5.1505147E-002, 0.0000000E+000, 0.0000000E+000, 1.4800507E+002, 1.1916518E+002, 0.0000000E+000, 2.4210301E-002, 0.0000000E+000
 7.2029430E-001, 3.1096274E+002, 0.0000000E+000,-2.0373253E+002, 1.7820090E+000,-5.8594378E-001, 6.2485804E-002, 0.0000000E+000, 0.0000000E+000, 1.1907432E+002, 1.0848876E+002, 0.0000000E+000, 2.6489952E-002, 0.0000000E+000
 7.9569697E-001, 3.2055979E+002, 0.0000000E+000,-2.9681835E+002, 4.6654861E-001,-5.8897926E-001, 6.7805378E-002, 0.0000000E+000, 0.0000000E+000, 1.0831332E+002, 2.3686810E+001, 0.0000000E+000, 2.8401611E-002, 0.0000000E+000
 8.6055291E-001, 1.4871487E+002, 0.0000000E+000,-9.5652948E+001, 8.6489434E-001,-5.2724296E-001, 7.4072885E-002, 0.0000000E+000, 0.0000000E+000, 2.3489692E+001, 5.3473642E+001, 0.0000000E+000, 2.9900547E-002, 0.0000000E+000
 9.2540884E-001, 2.1685706E+002, 0.0000000E+000,-1.3328032E+002, 1.3603463E+000,-5.2118457E-001, 7.7909836E-002, 0.0000000E+000, 0.0000000E+000, 5.3337825E+001, 8.4493813E+001, 0.0000000E+000, 3.1270081E-002, 0.0000000E+000
 9.8250121E-001, 2.8399454E+002, 0.0000000E+000,-1.8257056E+002, 1.6958791E+000,-5.2876554E-001, 8.1613520E-002, 0.0000000E+000, 0.0000000E+000, 8.4334122E+001, 1.0267271E+002, 0.0000000E+000, 3.2373327E-002, 0.0000000E+000
 1.0395936E+000, 2.6762653E+002, 0.0000000E+000,-1.9481148E+002, 1.2963563E+000,-5.4468825E-001, 8.6005184E-002, 0.0000000E+000, 0.0000000E+000, 1.0263048E+002, 7.3652726E+001, 0.0000000E+000, 3.3385586E-002, 0.0000000E+000
 1.0761687E+000, 2.6877779E+002, 0.0000000E+000,-1.2763113E+002, 2.3018147E+000,-5.7688087E-001, 9.1097042E-002, 0.0000000E+000, 0.0000000E+000, 7.3748673E+001, 1.4296269E+002, 0.0000000E+000, 3.3988561E-002, 0.0000000E+000
 1.1127439E+000, 2.5388750E+002, 0.0000000E+000,-1.1135797E+002, 2.3222704E+000,-5.6581709E-001, 9.5460787E-002, 0.0000000E+000, 0.0000000E+000, 1.4274889E+002, 1.4438144E+002, 0.0000000E+000, 3.4557611E-002, 0.0000000E+000
