,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2025-07-14T15:20:31.296+09:00, 0.160E+00,   0.15966, 0.17344E+01
       2,2025-07-14T15:20:31.300+09:00, 0.160E+00,   0.31933, 0.17344E+01
       3,2025-07-14T15:20:31.306+09:00, 0.160E+00,   0.47899, 0.17344E+01
       4,2025-07-14T15:20:31.311+09:00, 0.160E+00,   0.63866, 0.17812E+01
       5,2025-07-14T15:20:31.318+09:00, 0.816E-01,   0.72029, 0.17812E+01
       6,2025-07-14T15:20:31.324+09:00, 0.754E-01,   0.79570, 0.17812E+01
       7,2025-07-14T15:20:31.330+09:00, 0.649E-01,   0.86055, 0.18438E+01
       8,2025-07-14T15:20:31.334+09:00, 0.649E-01,   0.92541, 0.18438E+01
       9,2025-07-14T15:20:31.340+09:00, 0.571E-01,   0.98250, 0.18438E+01
      10,2025-07-14T15:20:31.345+09:00, 0.571E-01,   1.03959, 0.19062E+01
      20,2025-07-14T15:20:31.394+09:00, 0.308E-01,   1.40711, 0.20938E+01
      30,2025-07-14T15:20:31.447+09:00, 0.240E-01,   1.67720, 0.22812E+01
      40,2025-07-14T15:20:31.498+09:00, 0.185E-01,   1.86886, 0.25156E+01
      50,2025-07-14T15:20:31.546+09:00, 0.185E-01,   2.05396, 0.27031E+01
      60,2025-07-14T15:20:31.603+09:00, 0.164E-01,   2.22448, 0.28438E+01
      70,2025-07-14T15:20:31.653+09:00, 0.161E-01,   2.37622, 0.30312E+01
      80,2025-07-14T15:20:31.705+09:00, 0.178E-01,   2.53928, 0.32812E+01
      90,2025-07-14T15:20:31.757+09:00, 0.157E-01,   2.70855, 0.34688E+01
     100,2025-07-14T15:20:31.808+09:00, 0.139E-01,   2.85280, 0.36562E+01
     200,2025-07-14T15:20:32.350+09:00, 0.149E-01,   4.35513, 0.57812E+01
     300,2025-07-14T15:20:32.852+09:00, 0.147E-01,   5.79174, 0.77656E+01
     400,2025-07-14T15:20:33.363+09:00, 0.124E-01,   7.23498, 0.98125E+01
     500,2025-07-14T15:20:33.862+09:00, 0.148E-01,   8.63876, 0.11781E+02
     600,2025-07-14T15:20:34.405+09:00, 0.138E-01,  10.04376, 0.13875E+02
     700,2025-07-14T15:20:34.912+09:00, 0.138E-01,  11.42016, 0.15828E+02
     800,2025-07-14T15:20:35.446+09:00, 0.143E-01,  12.84527, 0.17938E+02
     900,2025-07-14T15:20:35.966+09:00, 0.115E-01,  14.25601, 0.20047E+02
    1000,2025-07-14T15:20:36.480+09:00, 0.142E-01,  15.66134, 0.21969E+02
    1100,2025-07-14T15:20:37.000+09:00, 0.130E-01,  17.08574, 0.23984E+02
    1200,2025-07-14T15:20:37.517+09:00, 0.149E-01,  18.51033, 0.26000E+02
    1300,2025-07-14T15:20:38.032+09:00, 0.128E-01,  19.92063, 0.28031E+02
    1400,2025-07-14T15:20:38.547+09:00, 0.141E-01,  21.32493, 0.30094E+02
    1500,2025-07-14T15:20:39.055+09:00, 0.125E-01,  22.76327, 0.32078E+02
    1600,2025-07-14T15:20:39.566+09:00, 0.140E-01,  24.17557, 0.34125E+02
    1700,2025-07-14T15:20:40.096+09:00, 0.157E-01,  25.58174, 0.36234E+02
    1800,2025-07-14T15:20:40.623+09:00, 0.143E-01,  26.96381, 0.38328E+02
    1900,2025-07-14T15:20:41.152+09:00, 0.142E-01,  28.38122, 0.40391E+02
    2000,2025-07-14T15:20:41.670+09:00, 0.146E-01,  29.77074, 0.42438E+02
    2100,2025-07-14T15:20:42.190+09:00, 0.126E-01,  31.20027, 0.44484E+02
    2200,2025-07-14T15:20:42.706+09:00, 0.156E-01,  32.62281, 0.46531E+02
    2300,2025-07-14T15:20:43.230+09:00, 0.147E-01,  34.04325, 0.48547E+02
    2400,2025-07-14T15:20:43.746+09:00, 0.157E-01,  35.50119, 0.50547E+02
    2500,2025-07-14T15:20:44.280+09:00, 0.157E-01,  36.96344, 0.52734E+02
    2600,2025-07-14T15:20:44.800+09:00, 0.146E-01,  38.46885, 0.54781E+02
    2700,2025-07-14T15:20:45.316+09:00, 0.146E-01,  39.86471, 0.56766E+02
    2800,2025-07-14T15:20:45.833+09:00, 0.142E-01,  41.34035, 0.58828E+02
    2900,2025-07-14T15:20:46.342+09:00, 0.145E-01,  42.73132, 0.60891E+02
    3000,2025-07-14T15:20:46.870+09:00, 0.143E-01,  44.07103, 0.62938E+02
    3100,2025-07-14T15:20:47.383+09:00, 0.148E-01,  45.50647, 0.64984E+02
    3200,2025-07-14T15:20:47.889+09:00, 0.161E-01,  46.95063, 0.67016E+02
    3300,2025-07-14T15:20:48.413+09:00, 0.130E-01,  48.37998, 0.69078E+02
    3400,2025-07-14T15:20:48.933+09:00, 0.153E-01,  49.82764, 0.71141E+02
    3500,2025-07-14T15:20:49.445+09:00, 0.145E-01,  51.30433, 0.73203E+02
    3600,2025-07-14T15:20:49.972+09:00, 0.124E-01,  52.75651, 0.75328E+02
    3700,2025-07-14T15:20:50.485+09:00, 0.136E-01,  54.16536, 0.77375E+02
    3800,2025-07-14T15:20:51.000+09:00, 0.155E-01,  55.58833, 0.79359E+02
    3900,2025-07-14T15:20:51.528+09:00, 0.142E-01,  57.05911, 0.81375E+02
    4000,2025-07-14T15:20:52.044+09:00, 0.121E-01,  58.42416, 0.83453E+02
    4100,2025-07-14T15:20:52.560+09:00, 0.155E-01,  59.85419, 0.85516E+02
    4110,2025-07-14T15:20:52.615+09:00, 0.666E-02,  60.00000, 0.85734E+02
