s,C
Time,"T air 1"
 0.0000000E+000, 2.0000000E+001
 9.2182618E-002, 2.0000000E+001
 1.8436524E-001, 1.9999993E+001
 2.7654785E-001, 1.9999986E+001
 3.6873047E-001, 1.9999986E+001
 4.6091309E-001, 1.9999985E+001
 5.5309571E-001, 1.9999986E+001
 6.0749697E-001, 2.0000436E+001
 6.5575046E-001, 2.0000836E+001
 6.9727560E-001, 2.0001180E+001
 7.3431256E-001, 2.0002706E+001
 7.7134951E-001, 2.0004232E+001
 8.0328108E-001, 2.0005548E+001
 8.3521266E-001, 2.0007890E+001
 8.6384222E-001, 2.0009990E+001
 9.1789853E-001, 2.0013320E+001
 9.6875201E-001, 2.0018628E+001
 1.0368012E+000, 2.0026522E+001
 1.0998810E+000, 2.0041402E+001
 1.1402778E+000, 2.0059152E+001
 1.2169127E+000, 2.0082989E+001
 1.2712701E+000, 2.0111366E+001
 1.3220000E+000, 2.0135059E+001
 1.3872217E+000, 2.0160659E+001
 1.4524433E+000, 2.0187662E+001
 1.5132759E+000, 2.0213645E+001
 1.5697192E+000, 2.0238306E+001
 1.6261626E+000, 2.0263365E+001
 1.6826059E+000, 2.0290170E+001
 1.7531601E+000, 2.0321595E+001
 1.8096035E+000, 2.0354102E+001
 1.8660468E+000, 2.4072772E+001
 1.9224902E+000, 5.9330913E+001
 1.9930444E+000, 1.0839485E+002
 2.0494878E+000, 1.3590181E+002
 2.1059311E+000, 1.2941864E+002
 2.1623745E+000, 1.2031344E+002
 2.2329287E+000, 1.0941917E+002
 2.2861726E+000, 9.9977316E+001
 2.3487282E+000, 9.6011685E+001
 2.4112839E+000, 9.5412322E+001
 2.4686456E+000, 9.4125561E+001
 2.5247089E+000, 8.7886961E+001
 2.5807721E+000, 7.8928742E+001
 2.6424715E+000, 8.0097282E+001
 2.7013827E+000, 9.8132016E+001
 2.7602939E+000, 1.1363521E+002
 2.8290237E+000, 1.5301930E+002
 2.8879349E+000, 2.4237963E+002
 2.9468460E+000, 2.3334365E+002
 3.0057572E+000, 2.8664148E+002
 3.0646684E+000, 2.1299327E+002
 3.1235796E+000, 2.1413362E+002
 3.1812032E+000, 2.6358519E+002
 3.2409197E+000, 2.9525258E+002
 3.3006362E+000, 1.8840502E+002
 3.3629119E+000, 1.9629435E+002
 3.4286000E+000, 2.9114990E+002
 3.4849041E+000, 2.0655164E+002
 3.5412082E+000, 1.8886425E+002
 3.6068963E+000, 2.0840954E+002
 3.6632004E+000, 2.9430813E+002
