s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7495217E-004,-2.0645149E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7495423E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.2182621E-002, 0.0000000E+000, 0.0000000E+000,-3.4931150E-006,-3.5203396E-003, 0.0000000E+000,-3.8493526E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.3731854E-003, 0.0000000E+000, 1.4879109E-003, 0.0000000E+000
 1.8436524E-001, 4.8919426E+001, 0.0000000E+000,-3.4885639E-006, 8.3001514E-001, 2.2805221E-009,-6.5291648E-003, 0.0000000E+000, 0.0000000E+000,-1.1069368E-002, 4.9742908E+001, 0.0000000E+000, 2.9508876E-003, 0.0000000E+000
 2.7654785E-001, 1.1841124E+002, 0.0000000E+000,-1.1384166E+000, 1.9902185E+000,-9.8498470E-002,-1.0850112E-002, 0.0000000E+000, 0.0000000E+000, 4.9562558E+001, 1.1915370E+002, 0.0000000E+000, 4.3656398E-003, 0.0000000E+000
 3.6873049E-001, 2.0765069E+002, 0.0000000E+000,-4.0091406E+000, 3.4506323E+000,-4.9272370E-001,-1.5013745E-002, 0.0000000E+000, 0.0000000E+000, 1.1873524E+002, 2.0658445E+002, 0.0000000E+000, 5.7119396E-003, 0.0000000E+000
 4.6091309E-001, 2.4028518E+002, 0.0000000E+000,-1.3873163E+001, 3.7924271E+000,-1.3388626E+000,-1.9368187E-002, 0.0000000E+000, 0.0000000E+000, 2.0527278E+002, 2.2884621E+002, 0.0000000E+000, 6.9736420E-003, 0.0000000E+000
 5.5309570E-001, 2.8447728E+002, 0.0000000E+000,-3.7650585E+001, 4.0672461E+000,-2.3388881E+000,-2.3017695E-002, 0.0000000E+000, 0.0000000E+000, 2.2768223E+002, 2.4853203E+002, 0.0000000E+000, 8.1392175E-003, 0.0000000E+000
 6.0749698E-001, 3.5283772E+002, 0.0000000E+000,-6.6634330E+001, 4.6885031E+000,-2.8777078E+000,-2.4448887E-002, 0.0000000E+000, 0.0000000E+000, 2.4767565E+002, 2.8798974E+002, 0.0000000E+000, 8.7790085E-003, 0.0000000E+000
 6.5575045E-001, 3.7481429E+002, 0.0000000E+000,-1.0557866E+002, 4.3638726E+000,-3.4038087E+000,-2.6250973E-002, 0.0000000E+000, 0.0000000E+000, 2.8723657E+002, 2.7016944E+002, 0.0000000E+000, 9.3158478E-003, 0.0000000E+000
 6.9727558E-001, 4.0536551E+002, 0.0000000E+000,-1.3642129E+002, 4.3360364E+000,-3.6637155E+000,-2.7032269E-002, 0.0000000E+000, 0.0000000E+000, 2.6976738E+002, 2.6958951E+002, 0.0000000E+000, 9.7546217E-003, 0.0000000E+000
 7.3431253E-001, 4.2843264E+002, 0.0000000E+000,-1.7122500E+002, 4.1226582E+000,-3.8087761E+000,-2.7803790E-002, 0.0000000E+000, 0.0000000E+000, 2.6928500E+002, 2.5749372E+002, 0.0000000E+000, 1.0127901E-002, 0.0000000E+000
 7.7134949E-001, 4.5326210E+002, 0.0000000E+000,-2.0684288E+002, 3.9434136E+000,-3.7744783E+000,-2.8849933E-002, 0.0000000E+000, 0.0000000E+000, 2.5746704E+002, 2.4655931E+002, 0.0000000E+000, 1.0484279E-002, 0.0000000E+000
 8.0328107E-001, 4.8499714E+002, 0.0000000E+000,-2.2551392E+002, 4.1558840E+000,-3.6376515E+000,-2.9561839E-002, 0.0000000E+000, 0.0000000E+000, 2.4687051E+002, 2.5997189E+002, 0.0000000E+000, 1.0778124E-002, 0.0000000E+000
 8.3521265E-001, 5.1563536E+002, 0.0000000E+000,-2.5326663E+002, 4.2048566E+000,-3.3999151E+000,-3.0409061E-002, 0.0000000E+000, 0.0000000E+000, 2.6062753E+002, 2.6314326E+002, 0.0000000E+000, 1.1059737E-002, 0.0000000E+000
 8.6384225E-001, 5.4922287E+002, 0.0000000E+000,-2.7956545E+002, 4.3270486E+000,-3.1477719E+000,-3.1117840E-002, 0.0000000E+000, 0.0000000E+000, 2.6476601E+002, 2.7080558E+002, 0.0000000E+000, 1.1302001E-002, 0.0000000E+000
 9.1789854E-001, 5.8673428E+002, 0.0000000E+000,-3.0192226E+002, 4.5814765E+000,-2.8678948E+000,-3.2570964E-002, 0.0000000E+000, 0.0000000E+000, 2.8108413E+002, 2.8649303E+002, 0.0000000E+000, 1.1628340E-002, 0.0000000E+000
 9.6875203E-001, 6.1592883E+002, 0.0000000E+000,-3.3098305E+002, 4.6275893E+000,-2.7366538E+000,-3.4017683E-002, 0.0000000E+000, 0.0000000E+000, 2.8538905E+002, 2.8680270E+002, 0.0000000E+000, 1.2017754E-002, 0.0000000E+000
 1.0368012E+000, 6.1737367E+002, 0.0000000E+000,-3.1787469E+002, 4.9394720E+000,-2.7191010E+000,-3.5543368E-002, 0.0000000E+000, 0.0000000E+000, 2.9413348E+002, 3.0168381E+002, 0.0000000E+000, 1.2420815E-002, 0.0000000E+000
