s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3929513E-003,-2.1736365E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3929730E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9193039E-001
 2.0196199E-001, 2.6591748E+001, 0.0000000E+000,-7.0660003E-004,-6.6878624E-003,-1.5891437E-005,-4.9770429E-003, 5.7386915E+000, 0.0000000E+000, 2.1407576E-001, 3.2318052E+001, 0.0000000E+000, 2.1336641E-003, 0.0000000E+000, 1.7020001E-001
 4.0392399E-001, 1.4504214E+002, 0.0000000E+000,-3.9817668E+000,-3.6240086E-004,-1.3515013E-001,-2.0876593E-002, 4.4755047E+001, 0.0000000E+000, 1.1616201E+002, 1.8565903E+002, 0.0000000E+000, 4.8187554E-003, 0.0000000E+000, 1.1286492E+002
 6.0588598E-001, 2.6672375E+002, 0.0000000E+000,-1.1303507E+002,-5.0610209E-002,-6.4709428E-001,-3.1572690E-002, 6.2075534E+001, 0.0000000E+000, 2.4420188E+002, 2.1503493E+002, 0.0000000E+000, 7.1657599E-003, 0.0000000E+000, 3.4064296E+002
 7.2018838E-001, 3.7914658E+002, 0.0000000E+000,-2.6526549E+002,-8.3989576E-002,-8.1428139E-001,-3.6672498E-002, 4.6789753E+001, 0.0000000E+000, 1.8543514E+002, 1.5973589E+002, 0.0000000E+000, 8.5191706E-003, 0.0000000E+000, 4.3702498E+002
 9.0465754E-001, 2.6810810E+002, 0.0000000E+000,-1.4187012E+002,-5.5051463E-002,-7.8119799E-001,-4.1402458E-002, 4.5198703E+001, 0.0000000E+000, 1.4100975E+002, 1.7055902E+002, 0.0000000E+000, 9.7178508E-003, 0.0000000E+000, 5.6174049E+002
 1.1038322E+000, 3.8625003E+002, 0.0000000E+000,-1.4963783E+002,-6.5995598E-002,-8.9115444E-001,-5.4314282E-002, 8.7470204E+001, 0.0000000E+000, 2.9685127E+002, 3.2307094E+002, 0.0000000E+000, 1.0946854E-002, 0.0000000E+000, 8.3864747E+002
 1.2622825E+000, 6.0332075E+002, 0.0000000E+000,-2.3442769E+002,-7.4326312E-002,-1.0383394E+000,-5.7767981E-002, 1.3901534E+002, 0.0000000E+000, 4.8276831E+002, 5.0673796E+002, 0.0000000E+000, 1.1839219E-002, 0.0000000E+000, 1.1959868E+003
 1.4450767E+000, 7.2186391E+002, 0.0000000E+000,-2.5097795E+002,-8.3644637E-002,-1.1677230E+000,-6.3578902E-002, 1.8137071E+002, 0.0000000E+000, 6.4227216E+002, 6.5094173E+002, 0.0000000E+000, 1.2472774E-002, 0.0000000E+000, 1.7448410E+003
 1.6270055E+000, 6.8176613E+002, 0.0000000E+000,-2.0415135E+002,-8.3738434E-002,-1.4944051E+000,-6.5572539E-002, 1.8737739E+002, 0.0000000E+000, 6.6593433E+002, 6.6334846E+002, 0.0000000E+000, 1.2980197E-002, 0.0000000E+000, 2.3147313E+003
 1.8066776E+000, 6.3545285E+002, 0.0000000E+000,-1.6892534E+002,-8.3339088E-002,-1.8084170E+000,-6.6449824E-002, 1.8013889E+002, 0.0000000E+000, 6.4133804E+002, 6.4470819E+002, 0.0000000E+000, 1.3344522E-002, 0.0000000E+000, 2.8532416E+003
 1.9825635E+000, 6.8876198E+002, 0.0000000E+000,-1.5514824E+002,-8.6423115E-002,-2.2314362E+000,-6.7410013E-002, 2.0561085E+002, 0.0000000E+000, 7.3529736E+002, 7.3683932E+002, 0.0000000E+000, 1.3602109E-002, 0.0000000E+000, 3.4553395E+003
 2.1671844E+000, 6.3910354E+002, 0.0000000E+000,-1.2541400E+002,-8.5482772E-002,-6.4837193E+000,-6.8235154E-002, 2.0078310E+002, 0.0000000E+000, 7.1025383E+002, 7.0783520E+002, 0.0000000E+000, 1.3788250E-002, 0.0000000E+000, 4.0746119E+003
 2.3460338E+000, 6.5336553E+002, 0.0000000E+000,-1.2216315E+002,-8.5475686E-002,-1.7748372E+001,-6.8495895E-002, 2.0216357E+002, 0.0000000E+000, 7.1263537E+002, 7.1546360E+002, 0.0000000E+000, 1.3921130E-002, 0.0000000E+000, 4.6763458E+003
 2.5244730E+000, 6.8179109E+002, 0.0000000E+000,-1.2243489E+002,-8.6113530E-002,-2.9004898E+001,-6.8914098E-002, 2.1132521E+002, 0.0000000E+000, 7.4057913E+002, 7.4152149E+002, 0.0000000E+000, 1.4012852E-002, 0.0000000E+000, 5.3047536E+003
 2.7067046E+000, 7.0355350E+002, 0.0000000E+000,-1.2542955E+002,-8.7670547E-002,-3.9278782E+001,-6.8424723E-002, 2.1742342E+002, 0.0000000E+000, 7.5957131E+002, 7.5611249E+002, 0.0000000E+000, 1.4077998E-002, 0.0000000E+000, 5.9671361E+003
 2.8834031E+000, 6.5376053E+002, 0.0000000E+000,-1.2101851E+002,-8.7704773E-002,-4.3625312E+001,-6.9454693E-002, 1.9515122E+002, 0.0000000E+000, 6.8323502E+002, 6.8411076E+002, 0.0000000E+000, 1.4123550E-002, 0.0000000E+000, 6.5420331E+003
 3.0601017E+000, 6.8150003E+002, 0.0000000E+000,-1.2588887E+002,-8.6355977E-002,-4.5127476E+001,-7.0550193E-002, 2.0306834E+002, 0.0000000E+000, 7.1223231E+002, 7.1339512E+002, 0.0000000E+000, 1.4154921E-002, 0.0000000E+000, 7.1396994E+003
 3.2462072E+000, 7.4948556E+002, 0.0000000E+000,-1.3812796E+002,-8.5879753E-002,-4.4179772E+001,-7.1606366E-002, 2.2246850E+002, 0.0000000E+000, 7.8616548E+002, 7.8948885E+002, 0.0000000E+000, 1.4177444E-002, 0.0000000E+000, 7.8286230E+003
 3.4230173E+000, 7.8282776E+002, 0.0000000E+000,-1.4515886E+002,-8.7712778E-002,-4.5503153E+001,-7.0617053E-002, 2.3628652E+002, 0.0000000E+000, 8.2914730E+002, 8.2829393E+002, 0.0000000E+000, 1.4193165E-002, 0.0000000E+000, 8.5254873E+003
 3.6007352E+000, 7.0494749E+002, 0.0000000E+000,-1.2388266E+002,-8.5689291E-002,-4.8061920E+001,-7.1728971E-002, 2.1845328E+002, 0.0000000E+000, 7.5524006E+002, 7.5129878E+002, 0.0000000E+000, 1.4203924E-002, 0.0000000E+000, 9.1751021E+003
 3.7804434E+000, 6.4581044E+002, 0.0000000E+000,-1.2107078E+002,-8.5548238E-002,-4.8975240E+001,-7.1666174E-002, 1.9229778E+002, 0.0000000E+000, 6.6831252E+002, 6.6790498E+002, 0.0000000E+000, 1.4211532E-002, 0.0000000E+000, 9.7521487E+003
 3.9612677E+000, 7.1422198E+002, 0.0000000E+000,-1.4192265E+002,-8.5863700E-002,-4.7425306E+001,-7.2590189E-002, 2.0355111E+002, 0.0000000E+000, 7.2410288E+002, 7.2826668E+002, 0.0000000E+000, 1.4216875E-002, 0.0000000E+000, 1.0364174E+004
 4.1463065E+000, 7.3562986E+002, 0.0000000E+000,-1.4084078E+002,-8.5597430E-002,-4.6975764E+001,-7.1756721E-002, 2.1754787E+002, 0.0000000E+000, 7.6539095E+002, 7.6520383E+002, 0.0000000E+000, 1.4220645E-002, 0.0000000E+000, 1.1035321E+004
 4.3245769E+000, 6.9009321E+002, 0.0000000E+000,-1.2581459E+002,-8.4577235E-002,-5.2336687E+001,-7.2560362E-002, 2.0897887E+002, 0.0000000E+000, 7.2231903E+002, 7.2076367E+002, 0.0000000E+000, 1.4223256E-002, 0.0000000E+000, 1.1657600E+004
 4.5032492E+000, 6.9144499E+002, 0.0000000E+000,-1.2786300E+002,-8.4843616E-002,-5.3508786E+001,-7.3018476E-002, 2.0626248E+002, 0.0000000E+000, 7.1691569E+002, 7.1617782E+002, 0.0000000E+000, 1.4225042E-002, 0.0000000E+000, 1.2272628E+004
 4.6804962E+000, 6.9351767E+002, 0.0000000E+000,-1.3848047E+002,-8.3683300E-002,-5.3444234E+001,-7.3565271E-002, 1.9721041E+002, 0.0000000E+000, 6.9499490E+002, 6.9864613E+002, 0.0000000E+000, 1.4226288E-002, 0.0000000E+000, 1.2854307E+004
 4.8645020E+000, 7.5233650E+002, 0.0000000E+000,-1.4912378E+002,-8.6129869E-002,-5.2713965E+001,-7.2470112E-002, 2.1636456E+002, 0.0000000E+000, 7.6654801E+002, 7.6670471E+002, 0.0000000E+000, 1.4227171E-002, 0.0000000E+000, 1.3518112E+004
 5.0406713E+000, 7.7191660E+002, 0.0000000E+000,-1.3741689E+002,-8.5170973E-002,-5.6979651E+001,-7.3210153E-002, 2.3425523E+002, 0.0000000E+000, 8.1017688E+002, 8.1161691E+002, 0.0000000E+000, 1.4227787E-002, 0.0000000E+000, 1.4205567E+004
 5.2207685E+000, 7.0851083E+002, 0.0000000E+000,-1.3051491E+002,-8.4162877E-002,-5.9958190E+001,-7.3237189E-002, 2.1240107E+002, 0.0000000E+000, 7.3475626E+002, 7.3028140E+002, 0.0000000E+000, 1.4228211E-002, 0.0000000E+000, 1.4845962E+004
 5.4022732E+000, 6.2670370E+002, 0.0000000E+000,-1.2924156E+002,-8.4568388E-002,-5.8770998E+001,-7.3270250E-002, 1.7697070E+002, 0.0000000E+000, 6.1711205E+002, 6.1550400E+002, 0.0000000E+000, 1.4228513E-002, 0.0000000E+000, 1.5383067E+004
 5.5805993E+000, 7.2379314E+002, 0.0000000E+000,-1.4618800E+002,-8.3199394E-002,-5.7553335E+001,-7.4458372E-002, 2.0286381E+002, 0.0000000E+000, 7.1498435E+002, 7.2275797E+002, 0.0000000E+000, 1.4228721E-002, 0.0000000E+000, 1.5982619E+004
 5.7664504E+000, 7.1296874E+002, 0.0000000E+000,-1.4326627E+002,-8.2551653E-002,-5.7385241E+001,-7.4676361E-002, 2.0503513E+002, 0.0000000E+000, 7.2128932E+002, 7.1719513E+002, 0.0000000E+000, 1.4228868E-002, 0.0000000E+000, 1.6620428E+004
 5.9406338E+000, 7.0766479E+002, 0.0000000E+000,-1.4899853E+002,-8.5724222E-002,-6.1064309E+001,-7.4062123E-002, 1.9590458E+002, 0.0000000E+000, 6.9236064E+002, 6.9334675E+002, 0.0000000E+000, 1.4228970E-002, 0.0000000E+000, 1.7189140E+004
 6.1255279E+000, 7.1444954E+002, 0.0000000E+000,-1.4053949E+002,-8.3602408E-002,-6.2180086E+001,-7.4326609E-002, 2.0679848E+002, 0.0000000E+000, 7.1669212E+002, 7.1837052E+002, 0.0000000E+000, 1.4229040E-002, 0.0000000E+000, 1.7826090E+004
